voter,voter_profession,voter_country,movie_id
Antonio Mariotti,critic,Switzerland,id_158
Antonio Mariotti,critic,Switzerland,id_24
Antonio Mariotti,critic,Switzerland,id_63
Antonio Mariotti,critic,Switzerland,id_53
Antonio Mariotti,critic,Switzerland,id_1837
Antonio Mariotti,critic,Switzerland,id_618
Antonio Mariotti,critic,Switzerland,id_167
Antonio Mariotti,critic,Switzerland,id_552
Antonio Mariotti,critic,Switzerland,id_146
Antonio Mariotti,critic,Switzerland,id_1838
Karl Markovics,Director,Austria,id_532
Karl Markovics,Director,Austria,id_23
Karl Markovics,Director,Austria,id_1631
Karl Markovics,Director,Austria,id_206
Karl Markovics,Director,Austria,id_220
Karl Markovics,Director,Austria,id_13
Karl Markovics,Director,Austria,id_374
Karl Markovics,Director,Austria,id_862
Karl Markovics,Director,Austria,id_1839
Karl Markovics,Director,Austria,id_114
Steven Markovitz,programmer,South Africa,id_159
Steven Markovitz,programmer,South Africa,id_31
Steven Markovitz,programmer,South Africa,id_51
